"MasterRecordID","RecordID","DirectoryNumber","PubDate","DisplayName","BusinessName","CorporateName","StreetNum","PreDir","StreetName","StreetSuffix","PostDir","UnitDesig","SecNumber","CityName","StateCode","ZIP","ZIP4","Phone","PhoneCode","MailSuppression","NoSolicitation","PhoneSuppression","MSA","WebAddress","AdultContentFlag","SecondaryPhoneNumber","SecondaryPhoneNumberCode","EmailAddress","AdType","AdSize","CreditCardsAccepted","FreeCode","HoursofOperation","Language","DiscountCode","DeliveryCode","YearStarted","YearsInBus","Directions","Slogans","Products","ProductsSynonyms","Brands","BrandsSynonyms","Trademark","Services","ServicesSynonyms","Models","ModelsSynonyms","Specialties","SpecialtiesSynonyms","ProgramsOffered","ProgramsOfferedSynonyms","ProductFeatures","ProductFeaturesSynonyms","ServiceFeatures","ServiceFeaturesSynonyms","LocationFeatures","LocationFeaturesSynonyms","GroupsServed","GroupsServedSynonyms","IndustryType","IndustryTypeSynonyms","SpecialConsiderations","SpecialConsiderationsSynonyms","SpecialHours","SpecialHoursSynonyms","OrderingMethods","OrderingMethodsSynonyms","ProfessionalsOnStaff","ProfessionalsOnStaffSynonyms","PaymentMode","PaymentModeSynonyms","Associations","AssociationsSynonyms","Certifications","CertificationsSynonyms","GeneralContent","GeneralContentSynonyms","BusinessLink","PrimaryBusinessClassificationFlag","SYPH1","SYPH2","SYPH3","SYPH4","SYPH5","SYPH6","SIC1","SIC2","SIC3","SIC4","SIC5","SIC6","NAICS1","NAICS2","NAICS3","NAICS4","NAICS5","NAICS6","BDC1","BDC2","BDC3","BDC4","BDC5","BDC6","Fax","AgeOfRecord","AddressPrivacyFlag","ServiceArea","ChainID","CBSA","ActualSalesAmount","MailingAddress","MailingCity","MailingState","MailingZipCode","LandmarkAddress","LandmarkCity","LandmarkState","LandmarkZipCode","FranchiseChain","TollFree","Financing","GoogleCheckout","Invoice","LongLocalWebaddress","MenuLink","CouponLink","TwitterLink","LinkedInLink","FacebookLink","AlternateSocialLink","YouTubeVideoLink","LogoLink","Pinterest","Keywords","BusinessMobileNumber","CallTrackingNumber","ParkingOptions","ValidationOptions","ProfessionalAssociations","ATM","AlternativeBusinessName","AnchorHostBusiness","UnofficialLandmark","PriceRange","Reservations","BanquetMeetingRooms","RestaurantBarTypes","DressCode","ShuttleService","FreeInternet","InternetAccess","FoodCourt","ParkPermitRequired","EquipmentRentals","LodgingCampgrounds","LiveEntertainment","SmokingPreference","ZagatRating","GiftShop","PresenceofECommerce","GreenCompanyIndicator","SeasonalHours","CreditRating","Fortune_500_Flag","BusinessHours","Contact_First_Name","Contact_Last_Name","Contact_Title","Contact_Gender","VerificationFlag","DPBC","CRRT","EmployeeSizeRange","Ethnicity","Number_of_PCs","SalesVolume","SquareFootage"
"MA04370672","0093718296","","201509","","BRIDGELINE","","130","","NEW BOSTON","ST","","","","WOBURN","MA","01801","6275","6175740005","P","","","","","BRIDGELINESW.COM","","7813765555","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510196025042","","","","","","","","","","","","","","","","","","","","","","","","","","","20020728","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","T","992","C064","","","","",""
"MA04228316","0093831730","701609","201509","","CHECKER CAB OF WOBURN","","289","","SALEM","ST","","","","WOBURN","MA","01801","2034","7819376000","P","","","","","CHECKERCABOFWOBURN.COM","","7819351121","P","","3","","ADMV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229840ATTR:RESERVATIONS|24 HOUR SERVICE","","2510132376509","I","229840","","","","","","41210000","","","","","","4853100000","","","","","","21032300","26040600","","","","","","20020728","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","894","C045","","","","",""
"MA04225301","0093831763","533891","201509","","MURPHY'S WASTE OIL","","252","","SALEM","ST","","","","WOBURN","MA","01801","2029","7819359066","P","","","Y","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016340065","I","161630","","","","","","50930308","","","","","","4239300505","","","","","","19220511","","","","","","","20020728","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHRIS","MORAN","MANAGER","M","V","520","C045","","","","E",""
"MA04060606","0094375932","705235","201509","","QUALITY PAINTING BY DINO","","35","","WOOD","ST","","","","WOBURN","MA","01801","3709","6176230223","PU","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016335707","I","164970","","","","","","17210100","","","","","","2383200100","","","","","","13010500","","","","","","","20020828","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","353","C001","","","","A",""
"MA04500709","0094477517","701609","201509","","MAHONEY'S BARBER SHOP","","400","","MAIN","ST","","","","WOBURN","MA","01801","4235","7813769755","P","","","","","","","","","","3","","","","","","","","2001","014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016338183","S","029820","","","","","","72410000","","","","","","8121110000","","","","","","23022601","","","","","","","20020828","","","","14460","168000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B","N","","CHARLES","LEE","OWNER","M","V","006","C029","B","","A","A","A"
"MA04797515","0094481126","033891","201509","","METALSOURCE","","11","","FORBES","RD","","","","WOBURN","MA","01801","2103","7819320482","P","","","","","","","7819324265","L","","","","","","","","","","1998","017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510006367043","","","","","","","","","","","","","","","","","","","","","","","","","","7819324265","20020828","","","","14460","","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","N","","ED","PERRY","MANAGER","M","V","112","C058","C","","B","C","B"
"MA04538386","0094481129","701609","201509","","GIOVANNI'S ROAST BEEF AND PIZZA","","179","","MAIN","ST","","","","WOBURN","MA","01801","5060","7819321331","P","","","Y","","","","","","","3","","DMV","","","","","","1992","023","","","BEEF|PIZZA","PIZZA PIE","","","","","","","","","","","","ITALIAN","ITALIAN FOOD|ITALIAN RESTAURANT","","","","","","","","","","","","","","","","","","","","","","","195010ATTR:CATERING SERVICE|195251ATTR:CATERING|195320ATTR:ONLINE ORDERING|GIFT CARDS|ONLINE ORDERING|PASTA","","2510016338063","I","195251","195010","195400","194100","195320","","58120000","58124500","58124239","58124238","58120300","","7221100000","7222111100","7221103700","7221103439","7221103438","","16000000","16100500","16162600","16162700","16163600","","","20020828","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HOP;SU;11:30-21:00","","","","","V","793","C002","","","","",""
"MR10515608","0094481157","533891","201509","","EASTERN AMBULANCE","","12","","WALNUT HILL","PARK","","STE","1","WOBURN","MA","01801","3714","7819326380","P","","","Y","","EASTERNEMS.COM","","","","","3","","","","","","","","","","","","","","","","","AMBULANCE SERVICE|DIALYSIS|HOME HEALTH CARE|NURSING HOME CARE","ASSISTED LIVING PROGRAMS|RESIDENTIAL CARE","","","NURSING","","","","","","","","","","","","","","","","","","","","NURSES","","","","","","","","015510ATTR:BASIC LIFE SUPPORT","","2510073716450","S","015510","","","","","","41190100","","","","","","6219100000","","","","","","12050602","","","","","","","20020828","","","","14460","","PO BOX 3009","WOBURN","MA","01888","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TOM","MCPHERSON","EXECUTIVE","M","V","014","C015","","","","A",""
"MA04518230","0094481159","701609","201509","","ROMA'S BAKERY","","312","","MAIN","ST","","","","WOBURN","MA","01801","5051","7819326496","P","","","Y","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016338103","I","028060","","","","","","54610000","","","","","","3118110000","","","","","","16170000","","","","","","","20020828","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","GUY","CARFARO","OWNER","M","V","126","C012","A","","","A",""
"MA04497171","0094481165","701609","201509","","WINCHESTER SAVINGS BANK","","573","","MAIN","ST","","","","WOBURN","MA","01801","2925","7819327316","P","","","","","WINCHESTERSAVINGS.COM","","7819387372","P","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","029090ATTR:MOBILE BANKING|BANKS|FINANCIAL CALCULATORS","","2510097228092","S","029090","","","","","","60290100","","","","","","5221100200","","","","","","15020100","","","","","","","20020828","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","732","C061","","","","",""
"MA04225069","0094481239","033891","201509","","CALLAHAN AUTO SERVICE","","278","","SALEM","ST","","STE","1","WOBURN","MA","01801","2084","7819333303","P","","","Y","","","","","","","","","","","","","","","2006","009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016340100","A","237500","024660","024171","","","","75490307","75380000","","","","","4884100204","8111110200","8111980000","","","","21030200","21020000","","","","","","20130716","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JAKE","CALLAHAN","OWNER","M","V","015","C045","","","","A",""
"MA04729097","0094481246","701609","201509","","TRACY'S AUTO SALES","","5","","HARRISON","AVE","","","","WOBURN","MA","01801","4122","7819333900","P","","","","","TRANSLATE.GOOGLE.COM|TRACYSAUTOSALES.COM","","7819334639","L","","3","","AMV","","","","","","1984","031","","","NEW CARS|TRUCKS|USED VEHICLES","PRE-OWNED","","","","CLEANING & DETAILING|SHUTTLE","TRANSPORTATION|WASHING","","","","","","","CLASSIC","","","","","","","","","","","","","","","","","","","","","","","","","","2510099566097","S","024220","024651","","","","","55210000","50130108","","","","","4411200000","4231200100","","","","","21060200","21020500","","","","","7819334639","20130716","","","","14460","398000","","","","","","","","","H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","N","","TRACY","BATTAN","OWNER","F","V","056","C006","A","","A","A","A"
"MA04225025","0094481260","701609","201509","","MAHONEY'S AUTO BODY REPAIR","","293","","SALEM","ST","","","","WOBURN","MA","01801","2051","7819335350","P","","","Y","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016340130","I","025360","026580","","","","","75329901","75320401","","","","","8111210701","8111210401","","","","","21020100","","","","","","","20130716","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","JOSHEPH","MAHONEY","OWNER","M","V","930","C045","B","","","B",""
"MA05039618","0094481292","701609","201509","","BROTHERS PIZZA","","186","","CAMBRIDGE","RD","","STE","1","WOBURN","MA","01801","4793","7819338585","P","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RESTAURANT","","2510077977033","S","195320","195010","195251","","","","58120300","58124500","","","","","7222111100","7221103700","","","","","16163600","16100500","","","","","","20100113","","","","14460","","","","","","","","","","","","","","","","SINGLEPAGE.COM/BROTHERS-PIZZA-45/MENU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ANDREUS","CALPOUZOS","OWNER","U","V","016","C033","","","","B",""
"MA04503997","0094481300","701632","201509","","MIKE'S TAILORING","","339","","MAIN","ST","","","","WOBURN","MA","01801","5044","7819339517","P","","","Y","","","","","","","3","","","","","","","","","","","","","","","","","DYEING|SHOE REPAIR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510093536642","I","212400","","","","","","72510104","","","","","","8114300103","","","","","","22051700","22051800","","","","","","20020828","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MICHAEL","PAPAZIAN","OWNER","M","V","395","C012","","","","A",""
"MA04064363","0094481304","701609","201509","","BILL'S AUTO SERVICE","","41","","WINN","ST","","","","WOBURN","MA","01801","2828","7819339761","P","","","Y","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016341225","S","024660","","","","","","75380000","","","","","","8111110200","","","","","","21020000","","","","","","","20130716","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WILLIAM","GELORMINI","OWNER","M","V","415","C051","","","","B",""
"MA04225625","0094481309","701609","201509","","ERNIE'S SALEM ST SERVICE STATION","","163","","SALEM","ST","","","","WOBURN","MA","01801","3120","7819339817","P","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510069582250","I","209750","","","","","","55410000","","","","","","4471900000","","","","","","21032200","","","","","","","20020828","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PETER","BARBAS","OWNER","M","V","635","C026","","","","D",""
"MA05084522","0094481311","701609","201509","","DAVE'S AUTO REPAIR","","3","","BREED","AVE","","STE","5","WOBURN","MA","01801","1334","7819339833","P","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510073717069","S","024660","","","","","","75380000","","","","","","8111110200","","","","","","21020000","","","","","","","20130716","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","054","C020","","","","",""
"MA04499667","0094481349","701609","201509","","ANDREA'S PIZZA","","418","","MAIN","ST","","","","WOBURN","MA","01801","4235","7819352222","P","","","","","ANDREASPIZZA.COM","","","","","3","","","","","","","","1978","037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195320ATTR:DELIVERY|PIZZA RESTAURANTS","","2510194591352","S","195320","195251","","","","","58120300","","","","","","7222111100","7221100000","","","","","16163600","","","","","","","20020828","","","","14460","158000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B","N","","AKI","EXARCHOS","MANAGER","U","V","187","C029","A","","A","A","A"
"MA04653571","0094481392","701632","201509","","GOLD'S GYM","","35","","INDUSTRIAL","PKWY","","","","WOBURN","MA","01801","1992","7819355355","P","","","","","GOLDSGYM.COM|TODAYS-FITNESS.NET","","","","","3","","MV","","","","","","1991","024","","","","","YORK BARBELL","","","CORPORATE PROGRAMS|MEMBERSHIPS","","","","","","BODY SHAPING & TONING|GROUP|STRENGTH TRAINING|WELLNESS PROGRAMS","BODY CONTOURING|CONDITIONING","","","NO CONTRACTS REQUIRED","","","","","","","","","","","","","","","","","","","","","","","","2510073716963","S","113310","253170","","","","","79910400","72990113","72992000","","","","7139400300","8121910101","8121910300","","","","22040105","22040401","","","","","","20020828","","","02818","14460","1156000","","","","","","","","","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","N","","JOSEPH","GROSSI","OWNER","M","V","991","C022","C","","","C",""
"MA04518474","0094481402","701632","201509","","OLLIE'S SERVICE CENTER","","310","","MAIN","ST","","","","WOBURN","MA","01801","5051","7819355782","P","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016338099","I","024660","209750","","","","","75380000","55410000","","","","","8111110200","4471900000","","","","","21020000","21032200","","","","","","20020828","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","DAVE","OLSON","OWNER","M","V","108","C012","A","","","A",""
"MA04144998","0094481405","701632","201509","","JOSEPH'S CATERING","","30","","TORRICE","DR","","STE","1","WOBURN","MA","01801","6283","7819356320","P","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016340417","S","048960","049050","","","","","72991301","58121003","","","","","7223200203","","","","","","16010200","","","","","","","20020828","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JOSEPH","LUNETTA","OWNER","M","V","308","C038","","","","F",""
"MA04382412","0094481424","701609","201509","","JOE'S AMERICAN BAR & GRILL","","311","","MISHAWUM","RD","","","","WOBURN","MA","01801","2021","7819357200","P","","","","","JOESAMERICAN.COM","","7819350377","L","","3","","MV","","","","","","1997","018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194010ATTR:BAR|195251ATTR:BAR|GIFT CERTIFICATE|RESTAURANT AMERICAN|RESTAURANTS","","2510016338763","S","030180","194010","109230","195251","","","58121100","58130101","58121701","","","","7221101000","7224100101","7221101601","7222110000","","","16163500","16121400","","","","","7819350377","20020828","","","00947","14460","6060000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","N","","TOM","OBRIEN","PROPRIETOR","M","V","113","C040","E","","B","E","B"
"MA04750287","0094481425","701609","201509","","TOM'S AUTO BODY","","10","","GREEN","ST","","","","WOBURN","MA","01801","4321","7819357212","P","","","Y","","","","","","","3","","","","","","","","1984","031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016337432","S","026580","237500","","","","","75320401","75490307","","","","","8111210401","4884100204","","","","","21020100","21030200","","","","","","20130716","","","","14460","144000","","","","","","","","","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B","N","","FRANK","GARBINO","MANAGER","M","V","109","C055","A","","A","A","A"
"MA04501007","0094481432","701632","201509","","HARRY'S JEWELERS INC","","393","","MAIN","ST","","","","WOBURN","MA","01801","5030","7819357799","P","","","","","HARRYSJEWELERS.COM","","","","","3","","","","","","","","1998","017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127630ATTR:ENGRAVING|APPRAISALS|PEARL STRINGING|REPAIRS","","2510077977006","I","127630","","","","","","59440000","","","","","","4483100000","","","","","","25181600","","","","","","","20130716","","","","14460","124000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","HOP;SA;09:00-16:00","HARRY","AVEJINA","PRESIDENT","M","V","930","C029","A","","","A","A"
"MA04894536","0094481445","533891","201509","","HEALTH RESOURCES","","600","W","CUMMINGS","PARK","","STE","3400","WOBURN","MA","01801","6558","7819358581","PU","","","","","ALLONEHEALTH.COM","","","","","3","","AMVZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","158050ATTR:DRUG TESTING|ALCOHOL TESTING|OCCUPATIONAL HEALTH SERVICES","","2510016341992","S","112470","158050","","","","","54990200","80490700","","","","","4461910100","6213990600","","","","","25181400","18030902","","","","","","20020828","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DAVID","ROSTON","OWNER","M","V","501","C067","","","","F",""
"MA04646981","0094481453","533891","201509","","DAVE'S AUTO BODY","","8","","JEFFERSON","AVE","","","","WOBURN","MA","01801","4325","7819358915","P","","","Y","","DAVESAUTOBODY.ORG","","","","","3","","AMVZ","","","","","","1990","025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016337784","S","026580","025360","024660","","","","75320401","75329901","75380000","","","","8111210401","8111210701","8111110200","","","","21020100","","","","","","","20130716","","","","14460","972000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","DAVID","MUISE","OWNER","M","V","088","C016","C","","","B","A"
"MA04795338","0094481459","701609","201509","","SAL'S OF ITALY OF UNISEX COIFFURES","","5","","FOWLE","ST","","","","WOBURN","MA","01801","5101","7819359453","P","","","Y","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016337218","I","031680","","","","","","72310000","","","","","","8121120000","","","","","","22080200","","","","","","","20020828","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","SALVATORE","URDI","OWNER","M","V","058","C013","A","","","A",""
"MA05022471","0094481518","533891","201509","THE INTEGRATED SOLUTION GROUP INC","THE INTEGRATED SOLUTION GROUP INC","","10","","CEDAR","ST","","STE","19","WOBURN","MA","01801","6365","7819380712","P","","","Y","","INTSOLGRP.COM|CUSTOMACCOUNTINGSOFTWARE.NET","","7819385078","L","","3","","","","","","","","2015","000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510091356316","I","059560","","","","","","73719900","","","","","","5415110500","","","","","","11041300","11090000","","","","","7819385078","20020828","","","","14460","1800000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","CHARLES","CLARK","OWNER","M","V","190","C058","C","","","C",""
"MA04454553","0094481547","","201509","","MIKE'S AUTO BODY","","17","N","MAPLE","ST","","","","WOBURN","MA","01801","1722","7819385323","P","","","Y","","","","","","","","","","","","","","","2005","010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016341285","S","026580","025360","024660","","","","75320401","75329901","75380000","","","","8111210401","8111210701","8111110200","","","","21020100","","","","","","","20130716","","","20307","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MIKE","RICCARDI","OWNER","M","T","170","C038","","","","A",""
"MA04254958","0094584649","533069","201509","","GOLDBERG PROPERTIES","","7","","RANTOUL","ST","","STE","100B","BEVERLY","MA","01915","4899","9789220800","P","","","","","GOLDBERGPROPERTIESRE.COM","","9789220833","L","WGOLDBERG@GOLDBERGPROPERTIESRE.COM;AGOLDBERG@GOLDBERGPROPERTIESRE.COM","3","","","","","","","","1975","040","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189650ATTR:COMMERCIAL|190000ATTR:SALES|COMMERCIAL BUILDING|LEASING|RESIDENTIAL","","2510180027388","I","190000","189650","","","","","65520400","65190300","65310000","","","","2372100400","5311900400","5312100000","","","","24024700","24000000","","","","","9789220833","20020828","","","","14460","4536000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","N","","ANDREW","GOLDBERG","PARTNER","M","V","077","C001","D","","C","D","C"
"MA04869165","0095256921","701632","201509","","THE LORD'S GATHERING","","39","","DRAGON","CT","","","","WOBURN","MA","01801","1039","7819329084","P","","","","","TLGCHURCH.COM","","","","","3","","","","","","","","","","","","","","","","","PASTORAL COUNSELING","","","","","","SMALL GROUP PROGRAMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510192733060","I","053000","","","","","","86610000","","","","","","8131100000","","","","","","12030000","","","","","","","20020928","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RONALD","SATRAPE","RELIGIOUS LEADER","M","V","395","C017","","","","B",""
"MA04836959","0096313776","533069","201510","","MCDONALD'S","","40","","ENON","ST","","","","BEVERLY","MA","01915","1168","9789221884","P","","","","","mylocalmcds.com/beverly-ma","","8002446227","K","","3","","","","","","","","1955","060","","I'M LOVIN IT","WORLD FAMOUS FRIES  BIG MAC  QUARTER POUNDER  CHICKEN MCNUGGETS  EGG MCMUFFIN  MCFLURRY.","","MCDONALD'S  MCCAF","","","BURGERS & SANDWICHES  CHICKEN & FISH  SALADS  SNACKS & SIDES  BEVERAGES  DESSERTS & SHAKES  BREAKFAST  MCCAF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510015661814","S","195251","194720","194840","701884","","","58120607","58124600","58121200","","","","7221103800","7222110204","7221101100","","","","16163800","16163100","16163200","16180400","","","","20091015","","","01246","14460","","","","","","","","","","","8002446227","","","","","MCDONALDS.COM/US/EN/FOOD/FULL_MENU/FULL_MENU_EXPLORER.HTML","","TWITTER.COM/MCDONALDS","","FACEBOOK.COM/MCDONALDS","INSTAGRAM.COM/MCDONALDS/?REF=BADGE","YOUTUBE.COM/USER/MCDONALDSCORP","I.IMGUR.COM/PVZCTHY.JPG","PINTEREST.COM/MCDONALDS","MCDONALD'S BEVERLY  MA  MCDONALDS BEVERLY  HAMBURGERS BEVERLY  CHEESEBURGERS BEVERLY  BURGERS BEVERLY  FRIES   BIG MAC  CHICKEN NUGGETS  KIDS MEAL  MCFLURRY","","","","","","","MCDONALDS","","","","","","DRIVE-THRU","","","Y","Y","","","","","","","","","","","","","","HOP;SU;08:00-23:00|HOP;M;08:00-23:00|HOP;TU;08:00-23:00|HOP;W;08:00-23:00|HOP;TH;08:00-23:00|HOP;F;08:00-23:00|HOP;SA;08:00-23:00","","","","","M","990","C019","","","","",""
"MA05043240","0096313778","533069","201509","","SAM'S CLEANERS","","128","","CABOT","ST","","STE","1","BEVERLY","MA","01915","5195","9789224745","P","","","Y","","","","","","","3","","","","","","","","1955","060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510015660151","S","054080","","","","","","72120101","","","","","","8123200000","","","","","","22050500","","","","","","","20021028","","","","14460","386000","","","","","","","","","H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","N","","JAY","KIM","OWNER","M","V","284","C029","C","F","A","A","B"
"MA04063596","0097211557","533891","201509","","USA DEMOLITION","","98","","WINN","ST","","","","WOBURN","MA","01801","2836","7813760580","P","","","Y","","USADEMO.COM","","","","MIKEB@USADEMO.COM;BILLY@USADEMO.COM;BRAD@USADEMO.COM;LAUREN@USADEMO.COM","3","","","","","","","","1988","027","","EXCELLENCE IS OUR PASSION","DUMP TRUCKS","","BOBCAT","","","BOBCAT WORK|COMMERCIAL SERVICES|CONCRETE WORK|DEMOLITION & REMOVALS|RESIDENTIAL SERVICES","CEMENT WORK|CLEAN UPS|CONCRETE CONSTRUCTION|DISPOSAL|HOMEOWNERS|NEW CONSTRUCTION|RESIDENTIAL WORK","","","COMMERCIAL|EXTERIOR WORK|HOSPITALS|INTERIOR WORK|OFFICE BUILDINGS|OFFICE INTERIORS|RESIDENTIAL|RESTAURANTS|SCHOOLS|WAREHOUSES","BUSINESS|HOMEBUILDING|OFFICE SPACE","","","","","REFERENCES AVAILABLE","","","","","","","","","","","","","","CONTRACTORS","","","","","","ASSOCIATED BUILDERS AND CONTRACTORS|BONDED|CERTIFIED|INSURED","ABC","","","2510015881758","I","071370","","","","","","17950000","","","","","","2389100000","","","","","","13056900","","","","","","","20021118","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MIKE","WINN","OWNER","M","V","984","C051","","","","E",""
